Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,,,,,,,,,,,,,,,,,,,,,,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,,,,,,,,,,,,,,,,,,,,2.3,2.3,2.5,2.6,2.6,2.7,2.7,2.6
Afghanistan,AFG,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,,,,,,,,,,,,,,,,,,,,,,2,2,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5
Afghanistan,AFG,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2.5,2.5,2.5
Afghanistan,AFG,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,,,,,,,,,,,,,,2,2,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,,,,,,,,,,,,,,2.5,2.33333333333333,2.5,2.66666666666667,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,,,,,,,,,,,,,,,,,,,,,,3,2.5,2.5,3,3,3,3,3
Afghanistan,AFG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,,,,,,,,,,,,,,,,,,,,,,2.5,2,2,2,2,2,2,2
Afghanistan,AFG,Net official aid received (constant 2011 US$),DT.ODA.OATL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net official aid received (current US$),DT.ODA.OATL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net official development assistance and official aid received (constant 2011 US$),DT.ODA.ALLD.KD,20910000,47260000,8130000,82530000,128860000,265540000,196100000,808950000,312950000,358750000,352040000,305180000,244010000,370720000,267880000,224640000,242810000,763740000,2031560000,2164050000,2849020000,3360290000,3408990000,5412560000,5103020000,6644150000,6743310000,6884700000,6777250000,
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,6500000,16320000,1910000,45280000,72360000,148320000,121720000,507530000,204900000,223800000,226420000,212530000,169630000,230750000,164200000,142860000,136010000,410360000,1309770000,1593670000,2311490000,2837620000,2961670000,4964720000,4875070000,6235260000,6426380000,6884700000,6725030000,
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,108275.76784559,107961.123495242,111863.546236975,108787.862102961,105238.633780729,112524.954042869,99935.7687149594,70791.229193246,66093.8639430684,72882.2233215348,79417.4829404225,90537.5381426019,99392.2727446337,89814.2332275931,101859.665845621,112860.034858452,121873.113886293,131464.621589966,135839.407832881,144423.208679224,153912.198705326,163563.164720253,173170.326898185,185080.270995124,201269.701369545,209948.402160303,219398.30859641,228163.59491479,233411.223714649,238837.838160809
Albania,ALB,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,1852.85251209718,1847.46820878943,1914.24782092386,1861.61564673089,1800.8800200648,1925.56606081312,1710.13555291463,1211.40407918608,1131.02113499453,1247.18589630425,1359.01952670003,1549.30977008487,1700.83506127214,1536.93232538554,1743.05794822515,1931.30008000561,2085.53501595435,2249.66822412419,2324.53108440549,2471.42006314881,2633.79895324546,2798.94963267007,2963.35072563569,3167.15782188663,3444.19697234036,3592.70991186371,3754.41999000597,3904.41461112399,3994.21385612439,4087.07596561401
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.25159665003427,1.78064395394215,5.63724318407066,-0.787842636925149,-1.42003967808201,9.83654899442776,-9.57564019879256,-29.5889976734059,-7.20000000000015,9.60000000000029,8.30000000000001,13.2999999999999,9.09999999999994,-10.2,12.7,10.1,7.30000000000008,6.99999999999991,2.90000000000003,5.69999999999997,5.90000000000006,5.49999999999984,5.00000000000007,5.89999999999999,7.70000000000005,3.3,3.49999999999953,3.0000000000008,1.29998720594548,1.30005271597067
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.30749720817121,-0.290595353521056,3.61465554950952,-2.74949636184344,-3.26252235646731,6.92361730704482,-11.1879053273048,-29.1632714657357,-6.63551869872843,10.2707860813126,8.96687740994957,14.0020242274883,9.7801804463526,-9.63660378473203,13.4114963577143,10.7995337717907,7.98606791070465,7.87007683468377,3.3277289281376,6.31907999547738,6.57026672712846,6.2704360642677,5.87367100310384,6.87758942901444,8.74724803858055,4.31197578756462,4.50106137454259,3.99514762645887,2.29994132140962,2.32491581158682
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,662.520053432649,662.914790680162,719.157296861844,699.384290789514,676.566732520011,723.409611631928,639.463898529214,348.711327960015,218.492162446494,380.527370950693,619.064922699109,760.559358125039,951.132091292501,697.594564719762,871.893653915042,1104.74355306509,1193.46622319392,1335.14100806614,1458.12875601032,1863.2038345772,2476.11588551025,2798.94963267007,3076.97984400088,3638.71081304039,4422.69244598222,4175.77934896371,4175.12023926535,4556.14434165204,4406.11637841688,4652.35139506218
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,5684.42200790586,5687.8088534594,5753.25837489475,5595.07432631611,5412.53386016009,5787.27689305542,5115.71118823371,5021.44298960141,16394.0134454806,38837.5747976551,58577.9886766664,70501.9527245259,99392.2731082662,102337.122644389,131795.444725798,152565.084678288,171868.68386971,191806.357218782,204729.783094926,225031.548460786,254224.297715867,279537.984327969,301862.184427956,329040.977530535,371040.0136787,396607.58858381,433946.96723638,459692.183350983,476673.937952479,491607.923859408
Albania,ALB,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,,,,,,,,,,,,,,,,,,,,,3,3.5,,,,,,,
Albania,ALB,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,,,,
Albania,ALB,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,
Albania,ALB,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,
Albania,ALB,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,,,,,,,,,,,,,,,,,,,,,3.5,4,,,,,,,
Albania,ALB,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,,,,
Albania,ALB,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,
Albania,ALB,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,,,,
Albania,ALB,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,
Albania,ALB,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,,,,,,,
Albania,ALB,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,,,,,,,,,,,,,,,,,,,3.4,3.5,,,,,,,
Albania,ALB,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,
Albania,ALB,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,
Albania,ALB,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,3.3,3.3,,,,,,,
Albania,ALB,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,
Albania,ALB,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,
Albania,ALB,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,,,,,,,,,,,,,4,4.16666666666667,,,,,,,
Albania,ALB,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,,,,,,,,,,,,,,,,,,,,,4.5,5,,,,,,,
Albania,ALB,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,,,,,,,,,,,,,,,,,,,,,3,2.5,,,,,,,
Albania,ALB,Net official aid received (constant 2011 US$),DT.ODA.OATL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Net official aid received (current US$),DT.ODA.OATL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Net official development assistance and official aid received (constant 2011 US$),DT.ODA.ALLD.KD,,,,,9840000,19490000,17490000,508630000,616840000,435290000,243770000,247720000,317360000,258680000,416630000,778290000,531350000,458140000,486180000,497660000,378100000,394270000,381610000,332260000,369200000,371110000,362580000,350750000,360370000,
Albania,ALB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,5560000,10340000,11050000,331950000,409640000,270680000,163100000,180600000,226550000,168110000,268620000,488150000,317850000,268530000,307420000,354500000,299950000,319140000,321780000,307190000,363270000,356960000,340700000,350750000,341620000,
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8948.56814454114,8996.59161314243,8767.06319651624,8459.04385301127,8146.07303075845,8281.16439576244,8136.46361613475,7843.35131201726,7798.51571919834,7465.9845105897,7245.63410893338,7376.60190541763,7542.74138213411,7499.99841215159,7761.0226238533,7892.63677069167,7953.58050816078,8208.96385741786,8556.15140552594,9052.56106900744,9312.61424735676,9716.98960641597,9725.72584621245,9887.39606881765,9907.76758731002,9884.25954301784,10052.3651465269,10142.2393720069,10281.2492325899,10363.1909187146
Algeria,DZA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,2798.44386354052,2813.46201827126,2741.68267004027,2645.35722134722,2547.48331986333,2589.729810621,2544.47821257114,2452.81457258576,2438.79334733881,2334.80241771347,2265.89326717858,2306.85021363894,2358.80623516096,2345.43942606647,2427.06830698613,2468.22738356975,2487.28603355564,2567.1508739452,2675.72521207475,2830.96508443572,2912.29029863659,3038.74871341846,3041.48075683077,3092.0391294172,3098.40981911807,3091.0582583733,3143.62913753162,3171.73508372575,3215.2069872791,3240.83222754101
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.59999650853989,3.69999727229671,0.400000988384946,-0.69999750712573,-1.0000055165881,4.40000216431811,0.800000618836293,-1.20000061392489,1.80000231464599,-2.10000075536301,-0.899996563024587,3.79999480951305,4.09999847712979,1.09999992721932,5.10000360663906,3.20000153429984,2.20000070353935,4.6125237416927,5.59999999999985,7.19999999999985,4.29999999999995,5.90000000000018,1.69999999999983,3.40000000000005,2.00000000000016,1.59997965819602,3.60016906640861,2.80001825165273,3.2999913838345,2.69992922859166
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.27614819490553,0.53666092525188,-2.55128193538195,-3.51336971800737,-3.69983685734657,1.65836182039989,-1.74734823162949,-3.60245332549938,-0.571638207129894,-4.26403203612227,-2.95139109040177,1.80754085170791,2.25224946183502,-0.566676859473986,3.48032355951962,1.69583511371117,0.772159409329703,3.21092304271066,4.22937113792194,5.80178680756983,2.87270283367265,4.34223246360692,0.0899068554185476,1.66229467251704,0.206035222525585,-0.237268830592001,1.70074048316353,0.894060493923092,1.37060323153744,0.797001261918396
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2424.24873184853,2535.85851741111,2705.94603032037,2755.0137601406,2372.58499197887,2175.09352276189,2364.54987875943,1699.85651058312,1743.34606877112,1773.82048306879,1479.60021499742,1424.64248422937,1572.83193698246,1587.64613767632,1563.50097349962,1555.19103253983,1727.33325088251,1702.78007949918,1742.55761030326,2056.26530251874,2549.95719297899,3038.74871341846,3391.36782568837,3845.84729635434,4786.5180703757,3771.28484363971,4349.56932474256,5271.59031215714,5309.82236863154,5360.70114645178
Algeria,DZA,GDP per capita (current LCU),NY.GDP.PCAP.CN,12081.0008103209,12749.7896647226,12723.3586164939,13361.8164739433,14033.366106977,16550.2870627506,21181.638246889,31401.4485937449,38067.7055291253,41409.837959255,51873.3011380581,67902.732160703,86110.9765818352,91618.2968297142,91838.4215584238,103535.283908532,129999.104151399,131480.157602762,138850.474121539,159144.646185692,183767.768450431,222667.353691979,246372.709196402,266486.450154789,309127.696539074,273972.530035894,323546.991297478,384498.639169247,411702.210180136,425470.272872043
Algeria,DZA,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Net official aid received (constant 2011 US$),DT.ODA.OATL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Net official aid received (current US$),DT.ODA.OATL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Net official development assistance and official aid received (constant 2011 US$),DT.ODA.ALLD.KD,394800000,554030000,391460000,418760000,318740000,306780000,541470000,347770000,561510000,531470000,477120000,408730000,430600000,388060000,657310000,223340000,348750000,361960000,327940000,337600000,400570000,429710000,286570000,425110000,324400000,329320000,210930000,190290000,152580000,
Algeria,DZA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,120980000,172150000,167330000,213450000,171980000,158210000,331650000,211170000,372460000,324470000,293650000,293900000,305040000,247810000,419730000,137830000,199620000,198680000,189960000,238120000,316200000,346610000,239910000,394300000,325050000,318640000,198320000,190290000,144500000,
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Net official aid received (constant 2011 US$),DT.ODA.OATL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Net official aid received (current US$),DT.ODA.OATL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Net official development assistance and official aid received (constant 2011 US$),DT.ODA.ALLD.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,11578.5771430906,11344.4835767484,11230.5592240871,11378.246031575,11490.065063893,11581.2687044466,11564.5489534222,11406.3766806498,11076.5288996686,10585.0838721139,10542.8530243311,10638.9697107087,11060.9012170067,12098.5025910697,12541.9707879057,12998.0122172384,12885.1390489334,13850.8879276626,13919.6262520033,14073.2392072362,14338.1680093778,14782.2538964394,15659.8675602579,15997.8037924332,16843.160095556,,,,,
